label,ax,ay,az,gx,gy,gz
0,-4820,-15296,6316,919,1049,3237
0,-2628,-15156,6888,2223,-6640,-1365
0,-4416,-14000,9820,1119,622,414
0,-856,-14664,7972,567,-10810,-6718
0,-624,-14592,9288,774,-6624,-3575
0,2432,-15192,6888,-357,-5150,-2784
0,1776,-14768,6896,-355,-1829,-6792
0,6248,-11952,9576,3526,9272,-7824
0,4368,-13016,9840,631,-1410,-6585
0,6268,-16500,9340,655,2339,-7176
0,7292,-8572,11412,2583,-2929,-7821
0,8748,-10948,9552,-1236,48,-4241
0,8352,-11656,9240,-1339,-334,-7198
0,9428,-8292,9756,3570,-1890,-13969
0,12320,-5992,10000,-1208,-2407,-12143
0,14520,-3136,8824,726,-2796,-5730
0,14920,-4348,7712,2318,-9858,8143
0,13376,-7144,6668,2755,-14099,13848
0,14304,-9296,2068,828,-13197,10806
0,12120,-10784,2472,-1718,-2560,8630
0,11680,-12352,1628,-2373,7948,4643
0,12276,-11868,712,-3229,16358,7906
0,3424,-13564,5232,854,32767,11387
0,2872,-14484,6140,-2760,-822,3338
0,3252,-13096,7304,1154,19128,9882
0,-1060,-14056,6200,-4245,5889,8454
0,-2856,-14136,4412,-4038,3880,9376
0,-4400,-15596,3176,-6343,-5715,5161
0,-6644,-12984,5036,-822,268,4290
0,-4676,-14908,4052,-2517,-227,795
0,-6112,-14384,2356,-3499,-846,1321
0,-7412,-15232,4956,-1439,-6839,-1188
0,-7556,-14468,5688,137,-790,-654
0,-5296,-15472,4032,-1329,915,1443
0,-6408,-14296,2560,-2362,-130,-448
0,-6252,-13812,3272,2152,2449,-1
0,-5476,-14348,3108,220,-849,-656
0,-6828,-14564,3920,382,2103,1571
0,-7020,-14128,3224,-199,423,-444
0,-8128,-16084,6792,714,-3036,-5479
0,-5304,-15776,5560,-2705,-1538,-43
0,-5288,-14884,4092,-11338,-14097,-817
0,-2336,-18060,208,-16302,-26012,-13781
0,-340,-18328,-440,-382,-969,-4107
0,-2272,-17424,2520,-3515,-14456,-7585
0,5036,-15260,-3616,-4484,-31355,-6358
0,6008,-11940,-4584,-752,-10064,-4899
0,6768,-14676,-5104,-742,1187,-167
0,3616,-17060,-2308,45,3793,1303
0,1020,-16716,2068,922,7294,2942
0,920,-17432,2848,395,6475,3320
0,-144,-16884,2140,-1009,11099,5515
0,-272,-16984,484,1629,4443,1372
0,1284,-16436,-784,454,5971,3387
0,-560,-16236,1436,3168,9896,3368
0,300,-16144,160,-627,-1335,581
0,704,-16404,-504,1376,3967,2625
0,-500,-16104,556,1532,4380,1744
0,224,-15540,2072,-424,2103,2787
0,-1800,-17516,-904,-8329,-4120,341
0,-1836,-17032,-3028,1781,7223,3272
0,-2584,-16516,-1300,1636,5545,3114
